review_date,helpful_votes,total_votes,weighted_votes,weighted_ratings
2015-07-12,2,4,22,39
2015-07-13,2,6,15,30
2015-07-14,4,5,16,25
2015-07-15,1,1,13,16
2015-07-16,1,6,18,33
2015-07-17,4,4,21,20
2015-07-18,2,4,17,24
2015-07-19,0,3,12,9
2015-07-20,2,2,16,29
2015-07-21,18,23,45,23
2015-07-22,2,2,20,33
2015-07-23,46,60,51,-39
2015-07-24,1,2,11,20
2015-07-25,3,6,13,16
2015-07-26,0,1,4,8
2015-07-27,6,9,39,53
2015-07-28,27,42,28,0
2015-07-29,1,3,20,28
2015-07-30,0,2,7,12
2015-07-31,0,2,17,25
2015-08-01,3,4,21,39
2015-08-02,6,9,15,13
2015-08-03,0,0,11,14
2015-08-04,2,5,18,29
2015-08-05,2,3,27,40
2015-08-06,7,10,24,29
2015-08-07,23,26,48,68
2015-08-08,1,1,7,11
2015-08-09,2,4,10,10
2015-08-10,0,0,7,14
2015-08-11,15,17,27,38
2015-08-12,0,1,5,10
2015-08-13,8,12,18,23
2015-08-14,1,1,14,21
2015-08-15,0,3,6,8
2015-08-16,1,1,10,13
2015-08-17,6,7,25,26
2015-08-18,3,3,23,33
2015-08-19,0,0,17,29
2015-08-20,4,6,22,30
2015-08-21,1,1,21,35
2015-08-22,2,2,6,8
2015-08-23,0,1,10,16
2015-08-24,0,0,16,23
2015-08-25,4,5,22,34
2015-08-26,1,1,17,25
2015-08-27,11,12,29,37
2015-08-28,16,20,21,17
2015-08-29,0,0,9,14
2015-08-30,2,3,10,19
2015-08-31,0,0,15,27
